event_date,start_time,peak_time,end_time,goes_class,goes_location,noaa_active_region
2011-04-22,2011-04-22 04:35:00.000,2011-04-22 04:57:00.000,2011-04-22 05:14:00.000,M1.8,"(-43, -18)",11195
2011-04-22,2011-04-22 15:47:00.000,2011-04-22 15:53:00.000,2011-04-22 16:11:00.000,M1.2,"(-35, -18)",11195
2011-05-28,2011-05-28 21:09:00.000,2011-05-28 21:50:00.000,2011-05-28 22:01:00.000,M1.1,"(-71, -20)",11226
2011-05-29,2011-05-29 10:08:00.000,2011-05-29 10:33:00.000,2011-05-29 11:08:00.000,M1.4,"(-65, -22)",11226
2011-06-07,2011-06-07 06:16:00.000,2011-06-07 06:41:00.000,2011-06-07 06:59:00.000,M2.5,"(54, -21)",11226
2011-06-14,2011-06-14 21:36:00.000,2011-06-14 21:47:00.000,2011-06-14 22:10:00.000,M1.3,"(-77, 15)",11236
2011-07-27,2011-07-27 15:48:00.000,2011-07-27 16:07:00.000,2011-07-27 16:22:00.000,M1.1,"(-37, 20)",11260
2011-07-30,2011-07-30 02:04:00.000,2011-07-30 02:09:00.000,2011-07-30 02:12:00.000,M9.3,"(0, 0)",11261
2011-08-02,2011-08-02 05:19:00.000,2011-08-02 06:19:00.000,2011-08-02 06:48:00.000,M1.4,"(0, 0)",11261
2011-08-03,2011-08-03 03:08:00.000,2011-08-03 03:37:00.000,2011-08-03 03:51:00.000,M1.1,"(24, 17)",11261
2011-08-03,2011-08-03 04:29:00.000,2011-08-03 04:32:00.000,2011-08-03 04:35:00.000,M1.7,"(0, 0)",11263
2011-08-03,2011-08-03 13:17:00.000,2011-08-03 13:48:00.000,2011-08-03 14:10:00.000,M6.0,"(30, 16)",11261
2011-08-04,2011-08-04 03:41:00.000,2011-08-04 03:57:00.000,2011-08-04 04:04:00.000,M9.3,"(36, 19)",11261
2011-08-08,2011-08-08 18:00:00.000,2011-08-08 18:10:00.000,2011-08-08 18:18:00.000,M3.5,"(61, 16)",11263
